,edgeid,coords
73,"(312213243, 367878812)","[(1.7036471, 41.334509), (1.7044844, 41.3348619), (1.7051393, 41.3352252), (1.7054866, 41.3354562), (1.7058762, 41.3357612), (1.7062739, 41.3361198), (1.7065434, 41.3364049), (1.7067781, 41.3366795), (1.7070679, 41.337099), (1.7073667, 41.3376317), (1.707694, 41.3382823)]"
74,"(312213338, 386507573)","[(1.6778811, 41.3343711), (1.6780647, 41.3344245), (1.6795034, 41.3344774), (1.6822398, 41.3346237), (1.6824802, 41.3346673), (1.6827904, 41.334797)]"
75,"(312213338, 386583494)","[(1.6778811, 41.3343711), (1.6809473, 41.3344417), (1.6822791, 41.3344073), (1.6827542, 41.3343871), (1.6839498, 41.3343564), (1.6844496, 41.3343435), (1.6848518, 41.3343249), (1.6872549, 41.3342525), (1.6884782, 41.3342303), (1.6889487, 41.3342218)]"
76,"(312213338, 688027985)","[(1.6778811, 41.3343711), (1.6780854, 41.3343155), (1.6786576, 41.3343342), (1.6794992, 41.3342937), (1.680287, 41.3342221), (1.6818998, 41.3341381), (1.6821859, 41.3340945), (1.6823393, 41.3340073), (1.6824149, 41.3339202)]"
77,"(361495241, 1650980528)","[(1.7012787, 41.3457482), (1.701013, 41.3456635), (1.7008973, 41.3456254), (1.7007584, 41.3455599), (1.7004834, 41.3454156), (1.6998501, 41.3450746)]"
78,"(361495241, 1653464951)","[(1.7012787, 41.3457482), (1.7012266, 41.3457698), (1.7011474, 41.3458192), (1.7010922, 41.345874), (1.7010585, 41.3459413)]"
79,"(361495241, 369266991)","[(1.7012787, 41.3457482), (1.7015244, 41.3457979), (1.7017428, 41.345843)]"
80,"(361495245, 5967575119)",
81,"(361495245, 1650980526)",
82,"(361495245, 1162512125)","[(1.6986028, 41.3444274), (1.6984431, 41.3445813), (1.6982158, 41.3447846), (1.6973595, 41.3454896)]"
83,"(361495248, 1780511969)",
84,"(361495248, 1653465000)",
85,"(361495248, 361495249)",
86,"(361495248, 1653464888)","[(1.696378, 41.3460011), (1.6962308, 41.3457773), (1.696047, 41.3455394)]"
87,"(361495249, 361495251)",
88,"(361495249, 361495248)",
89,"(361495249, 1653465193)","[(1.6951006, 41.346619), (1.6955449, 41.3469803), (1.6958949, 41.3473581)]"
90,"(361495251, 361495249)",
91,"(361495251, 489649081)","[(1.6946281, 41.3468253), (1.6945654, 41.3467568), (1.6942999, 41.3467012)]"
92,"(361495251, 1653465277)","[(1.6946281, 41.3468253), (1.6936705, 41.3472989), (1.6924777, 41.3478697)]"
93,"(361495251, 1653465283)","[(1.6946281, 41.3468253), (1.6945919, 41.3471012), (1.6945109, 41.347384), (1.6945459, 41.3475486), (1.6947949, 41.3478136), (1.6948919, 41.3479032)]"
94,"(361495254, 9690718919)",
95,"(361495254, 9690672167)",
96,"(361495254, 1653465340)",
97,"(361495257, 1705261986)",
98,"(361495257, 2201745031)","[(1.6859145, 41.3508859), (1.6858889, 41.3509713), (1.6857995, 41.3511019), (1.6855112, 41.3514111), (1.6853113, 41.3515928), (1.6848987, 41.3519317), (1.6845072, 41.3522707), (1.6840659, 41.3526196), (1.6838919, 41.3527888)]"
